Frame,Time,Type/Subtype,Transmitter,Receiver
"107","9.631381386","Probe Request","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"108","9.634263780","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"109","9.635540219","Authentication","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"110","9.637405573","Authentication","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"111","9.637410845","Authentication","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"112","9.638424088","Authentication","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"116","9.645474965","Association Request","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"117","9.670137788","Association Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"118","9.704269080","EAPOL M1","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"119","9.713954797","EAPOL M2","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"120","9.713975196","EAPOL M3","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"121","9.718233904","EAPOL M4","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
