Frame,Time_Relative,Protocol_Stage,Details,Transmitter_MAC,Receiver_MAC
"1","0.000000000","1. Discovery","Probe Request","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"2","0.000011695","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"4","0.000015401","2. Authentication","WPA2 Open Authentication","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"5","0.012068591","2. Authentication","WPA2 Open Authentication","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"6","0.012071749","3. Association","Association Request","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"7","0.034623351","3. Association","Association Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"8","0.077445940","4. Key Exchange","EAPOL Message 1","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"9","0.082419513","4. Key Exchange","EAPOL Message 2","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"10","0.085401067","4. Key Exchange","EAPOL Message 3","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"11","0.089284561","4. Key Exchange","EAPOL Message 4","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"12","0.180045665","5. Management / PMF","Encrypted Action Frame","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"13","0.181545834","5. Management / PMF","Encrypted Action Frame","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"25","0.284140342","5. Management / PMF","Encrypted Action Frame","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"28","0.284146934","5. Management / PMF","Encrypted Action Frame","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"31","0.312581865","5. Management / PMF","Encrypted Action Frame","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"33","0.312587335","5. Management / PMF","Encrypted Action Frame","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"68","1.121701847","5. Management / PMF","Encrypted Action Frame","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
