Frame,Time_Relative,Protocol_Stage,Details,Transmitter_MAC,Receiver_MAC
"41","3.981341376","1. Discovery","Probe Response","c8:3a:35:c2:e0:a2","00:91:9e:9c:9b:77"
"161","14.974796452","1. Discovery","Probe Request","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"163","14.989496630","2. Authentication","WPA2 Open Authentication","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"164","15.002493787","2. Authentication","WPA2 Open Authentication","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"165","15.005548145","2. Authentication","WPA2 Open Authentication","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"166","15.005549782","2. Authentication","WPA2 Open Authentication","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"167","15.015964166","3. Association","Association Request","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"168","15.029772621","3. Association","Association Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"170","15.072311420","4. Key Exchange","EAPOL Message 1","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"171","15.088155547","4. Key Exchange","EAPOL Message 2","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"172","15.088170178","4. Key Exchange","EAPOL Message 3","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"173","15.088173858","4. Key Exchange","EAPOL Message 4","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"175","15.179483889","5. Management / PMF","Encrypted Action Frame","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"176","15.179501021","5. Management / PMF","Encrypted Action Frame","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"188","15.242831491","5. Management / PMF","Encrypted Action Frame","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"190","15.242836827","5. Management / PMF","Encrypted Action Frame","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"200","15.263691230","5. Management / PMF","Encrypted Action Frame","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"201","15.263693784","5. Management / PMF","Encrypted Action Frame","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"246","16.111008229","5. Management / PMF","Encrypted Action Frame","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
