Frame,Time,Type/Subtype,Transmitter,Receiver,Important Fields,Interpretation
80,7.715284936,Probe Request,fe:f7:ae:58:03:ea,c8:3a:35:c2:e0:a2,SSID=Team_6,The client searches for the previously saved network profile.
81,7.720017973,Probe Response,c8:3a:35:c2:e0:a2,fe:f7:ae:58:03:ea,"SSID=Team_6
AKM=PSK+SAE
Pairwise Cipher=CCMP",The AP advertises a WPA2/WPA3 transition configuration supporting both PSK and SAE authentication methods.
82,7.72003177,Authentication,fe:f7:ae:58:03:ea,c8:3a:35:c2:e0:a2,Authentication Algorithm=Open System,The client initiates the authentication process with the AP.
83,7.720034409,Authentication,c8:3a:35:c2:e0:a2,fe:f7:ae:58:03:ea,Status Code=0 (Success),The AP accepts the client's authentication request.
84,7.72519534,Association Request,fe:f7:ae:58:03:ea,c8:3a:35:c2:e0:a2,"SSID=Team_6
AKM Selection",The client proceeds with association despite the modified AKM configuration.
85,7.725212336,Association Response,c8:3a:35:c2:e0:a2,fe:f7:ae:58:03:ea,Status Code=0 (Success),The AP accepts the association request and allows the connection process to continue.
98,7.82873106,EAPOL M1,c8:3a:35:c2:e0:a2,fe:f7:ae:58:03:ea,"Message 1 of 4
Anonce",The AP initiates the 4-Way Handshake.
99,7.8287481,EAPOL M2,fe:f7:ae:58:03:ea,c8:3a:35:c2:e0:a2,"Message 2 of 4
SNonce
MIC",The client proves possession of the Pairwise Master Key and participates in key derivation.
100,7.828750778,EAPOL M3,c8:3a:35:c2:e0:a2,fe:f7:ae:58:03:ea,"Message 3 of 4
GTK Distribution
MIC",The AP distributes group key material and installs session keys.
101,7.841341445,EAPOL M4,fe:f7:ae:58:03:ea,c8:3a:35:c2:e0:a2,"Message 4 of 4
MIC",The client confirms key installation and completes the 4-Way Handshake.
