Frame,Time,Type/Subtype,Transmitter,Receiver
"1","0.000000000","Probe Request","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"2","0.002254019","Probe Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"3","0.002267113","Authentication","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"4","0.008939057","Authentication","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"5","0.008949997","Association Request","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"6","0.020508241","Association Response","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"10","0.035280492","EAPOL M1","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"11","0.050989853","EAPOL M2","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
"12","0.051003086","EAPOL M3","c8:3a:35:c2:e0:a2","fe:f7:ae:58:03:ea"
"13","0.051005256","EAPOL M4","fe:f7:ae:58:03:ea","c8:3a:35:c2:e0:a2"
